# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.5945988} 
r,l,t
21.0,1648,20697.407573
21.0,1653,20729.41573
21.0,1652,20763.382455
21.0,1650,20797.303559
21.0,1673,20831.37012
20.0,1708,20867.435213
21.0,1651,20899.457403
21.0,1650,20933.329254
21.0,1648,20967.295177
18.0,1895,21006.302147
19.0,1872,21045.281298
21.0,1670,21079.187314
21.0,1650,21113.554321
12.0,2807,21169.064933
21.0,1654,21203.056552
21.0,1650,21237.069342
20.0,1707,21273.351723
18.0,1966,21312.768059
21.0,1669,21346.848306
21.0,1672,21380.815182
21.0,1669,21415.188157
21.0,1775,21451.585186
21.0,1765,21487.976076
21.0,1675,21522.052578
21.0,1651,21555.901454
21.0,1668,21589.880978
21.0,1668,21623.855469
21.0,1670,21657.863593
21.0,1652,21689.864023
21.0,1654,21723.940502
21.0,1648,21757.761505
21.0,1652,21791.724793
21.0,1648,21825.568889
21.0,1716,21859.811108
21.0,1648,21893.751941
21.0,1671,21927.777979
20.0,1764,21964.226473
21.0,1653,21998.438564
21.0,1668,22032.765084
21.0,1673,22066.814235
19.0,1769,22103.49735
21.0,1669,22137.538589
19.0,1998,22177.279925
21.0,1672,22211.276241
20.0,1845,22249.966668
21.0,1649,22283.873493
21.0,1675,22318.109482
21.0,1649,22352.256505
21.0,1650,22386.181357
21.0,1730,22420.457113
21.0,1668,22454.435187
21.0,1651,22488.317039
21.0,1654,22522.213061
21.0,1671,22556.361085
21.0,1648,22590.384648
21.0,1650,22624.488059
21.0,1653,22658.451981
21.0,1651,22690.37488
21.0,1673,22724.379862
21.0,1675,22760.139778
21.0,1673,22794.219161
20.0,1783,22830.689672
21.0,1653,22862.583233
21.0,1672,22896.711964
21.0,1672,22932.79752
21.0,1655,22964.693478
17.0,1948,23005.945132
21.0,1652,23039.830092
21.0,1649,23071.74193
21.0,1674,23105.949912
21.0,1652,23139.794672
21.0,1653,23173.620074
21.0,1656,23207.489496
19.0,1864,23246.482301
21.0,1651,23280.436151
21.0,1653,23312.449757
21.0,1672,23348.082099
21.0,1655,23380.132694
21.0,1648,23413.740632
21.0,1674,23447.832176
21.0,1652,23481.724864
21.0,1653,23515.864456
21.0,1652,23549.654502
21.0,1650,23583.628277
21.0,1672,23617.75063
21.0,1648,23651.506393
21.0,1653,23685.274944
21.0,1654,23719.237728
20.0,1857,23756.457852
21.0,1670,23790.579615
19.0,1913,23829.792453
21.0,1651,23863.660892
21.0,1671,23897.623002
19.0,1785,23934.205023
19.0,1758,23970.735045
21.0,1649,24004.642447
21.0,1669,24038.719091
21.0,1673,24072.783751
16.0,2240,24117.882327
21.0,1651,24151.770617
20.0,1791,24188.280785
21.0,1671,24222.308347
21.0,1670,24256.274486
21.0,1648,24290.11592
21.0,1650,24323.982758
21.0,1652,24358.00157
21.0,1669,24392.025633
21.0,1672,24426.297375
16.0,2133,24468.648814
21.0,1672,24502.648081
17.0,1939,24543.678406
20.0,1723,24578.083215
21.0,1653,24612.320533
