# {"t_start": 1579667593.5519605, "env_id": "PongNoFrameskip-v4"} 
r,l,t
20.0,1701,18940.929735
21.0,1651,18974.812758
21.0,1649,19008.651484
21.0,1667,19042.822427
21.0,1652,19076.591795
21.0,1672,19110.501016
21.0,1650,19144.271171
21.0,1670,19178.253409
21.0,1693,19212.189291
21.0,1671,19246.135682
21.0,1654,19280.054998
20.0,1750,19314.622809
21.0,1673,19350.67164
21.0,1675,19384.720343
21.0,1673,19418.757217
21.0,1717,19452.942676
21.0,1667,19486.882897
20.0,1719,19521.218677
21.0,1671,19555.390746
20.0,1771,19591.849432
21.0,1671,19625.881501
21.0,1787,19662.541264
19.0,1755,19699.011009
21.0,1653,19733.041242
21.0,1652,19766.999619
21.0,1668,19801.174342
20.0,1721,19835.300685
21.0,1650,19869.131706
20.0,1745,19905.418365
21.0,1847,19942.582379
21.0,1648,19976.459023
21.0,1670,20010.352077
21.0,1696,20044.544088
21.0,1651,20078.396227
21.0,1650,20112.35537
21.0,1670,20146.392107
21.0,1653,20180.222099
21.0,1654,20214.340473
21.0,1653,20248.164696
21.0,1668,20282.081512
21.0,1652,20316.020437
20.0,1708,20350.30647
21.0,1651,20384.345951
21.0,1653,20418.282253
21.0,1650,20452.138565
20.0,1705,20486.243203
21.0,1669,20520.224369
21.0,1650,20553.877193
21.0,1673,20587.91821
20.0,1719,20622.256639
19.0,1758,20658.568188
21.0,1652,20692.515717
15.0,2343,20739.854262
21.0,1670,20773.809444
21.0,1673,20807.923102
21.0,1650,20841.812414
21.0,1652,20875.758406
21.0,1668,20909.632698
14.0,1977,20951.176451
21.0,1672,20985.153706
12.0,2158,21027.687873
21.0,1672,21061.557584
21.0,1673,21097.673161
20.0,1889,21135.060007
21.0,1651,21168.876004
21.0,1671,21202.962193
21.0,1670,21237.111528
20.0,1744,21273.614324
21.0,1672,21307.577344
21.0,1669,21341.658783
21.0,1671,21375.604108
21.0,1654,21409.875815
21.0,1670,21443.867503
21.0,1722,21478.028663
21.0,1746,21514.431929
21.0,1654,21548.313625
21.0,1667,21582.251867
21.0,1651,21616.229887
21.0,1653,21650.06403
21.0,1671,21684.004974
21.0,1650,21718.125247
21.0,1652,21750.080326
21.0,1670,21784.199632
21.0,1671,21818.139512
21.0,1672,21854.018256
21.0,1668,21888.001544
21.0,1652,21920.031481
21.0,1672,21954.070245
21.0,1651,21988.119229
21.0,1650,22022.44358
21.0,1670,22056.651752
21.0,1673,22090.840437
15.0,2044,22132.668971
21.0,1672,22166.694937
19.0,1906,22205.875434
21.0,1668,22239.834395
19.0,1810,22276.536101
19.0,1824,22315.35867
21.0,1670,22349.592005
18.0,1957,22389.034082
21.0,1652,22422.921083
21.0,1669,22456.885423
15.0,2086,22498.930747
20.0,1795,22535.562936
21.0,1675,22569.695952
21.0,1674,22603.809541
21.0,1649,22637.964009
21.0,1652,22671.840876
21.0,1673,22705.835708
21.0,1668,22739.710554
21.0,1649,22773.640142
20.0,1705,22807.742201
21.0,1649,22841.580019
21.0,1650,22875.381275
21.0,1670,22909.667916
21.0,1648,22943.517882
21.0,1667,22977.390455
21.0,1654,23011.359017
18.0,1867,23048.256382
21.0,1653,23082.160215
20.0,1723,23118.495878
21.0,1653,23152.368547
21.0,1654,23184.220427
21.0,1652,23218.278678
20.0,1727,23254.480406
18.0,1957,23294.01031
18.0,2097,23335.847003
20.0,1723,23371.92913
21.0,1674,23405.743158
21.0,1670,23439.722749
19.0,1864,23478.650381
21.0,1671,23512.846715
21.0,1649,23544.816757
21.0,1653,23578.75841
21.0,1672,23612.88446
21.0,1649,23646.69286
20.0,1888,23685.551199
21.0,1653,23719.544949
21.0,1654,23753.616839
21.0,1655,23787.629682
21.0,1651,23821.644189
21.0,1649,23855.488099
21.0,1669,23889.396568
21.0,1648,23921.551444
21.0,1669,23955.532008
21.0,1673,23989.622762
21.0,1653,24023.620683
11.0,2304,24070.712464
19.0,1856,24109.867695
21.0,1652,24143.790859
21.0,1652,24177.655975
21.0,1669,24211.596682
20.0,1707,24245.812513
21.0,1652,24279.616841
21.0,1673,24313.687514
19.0,1842,24350.70253
21.0,1669,24384.68869
20.0,1810,24421.585621
19.0,1774,24458.190343
19.0,1813,24494.854926
21.0,1670,24528.754195
21.0,1648,24562.635717
18.0,1975,24604.352304
21.0,1649,24638.230768
21.0,1650,24670.243244
20.0,1768,24706.693302
21.0,1651,24740.989772
21.0,1654,24774.816411
21.0,1651,24808.686247
21.0,1673,24842.910319
21.0,1652,24876.967255
20.0,1722,24911.174327
21.0,1707,24947.335166
21.0,1652,24981.398098
21.0,1649,25013.62835
19.0,1801,25050.128822
21.0,1653,25084.139229
21.0,1654,25118.017526
21.0,1655,25151.930494
21.0,1653,25185.848821
21.0,1672,25219.944289
21.0,1653,25253.7165
21.0,1655,25287.744477
21.0,1669,25322.056084
21.0,1655,25356.065595
21.0,1648,25389.904911
21.0,1652,25423.753243
21.0,1668,25457.729057
21.0,1672,25491.841563
21.0,1648,25525.888756
21.0,1669,25559.963706
21.0,1668,25594.077353
21.0,1652,25626.305875
21.0,1654,25660.310236
21.0,1650,25694.342559
21.0,1673,25728.393713
21.0,1675,25762.392456
19.0,1891,25801.375909
16.0,1924,25840.703231
21.0,1671,25874.601798
21.0,1653,25908.587392
18.0,1931,25947.875942
21.0,1673,25981.669434
21.0,1669,26015.576298
21.0,1654,26049.549067
21.0,1670,26083.749933
21.0,1653,26117.632824
21.0,1670,26151.578951
21.0,1672,26185.715619
21.0,1675,26220.005372
19.0,1815,26256.789354
21.0,1648,26290.955437
21.0,1669,26325.044056
21.0,1670,26358.982762
21.0,1670,26392.983345
21.0,1673,26427.173515
21.0,1671,26461.167982
19.0,1832,26499.792436
21.0,1653,26534.02283
21.0,1651,26566.012355
